City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
304,Vila Velha,BR,-20.33,-40.29,77.0,88,90,4.7,moderate rain
305,Pacific Grove,US,36.62,-121.92,60.8,93,90,4.7,fog
306,Traverse City,US,44.76,-85.62,46.4,64,90,9.17,overcast clouds
307,Tuzha,RU,57.61,47.94,31.51,97,53,7.36,broken clouds
308,Morant Bay,JM,17.88,-76.41,87.8,62,75,18.34,broken clouds
309,Payo,ID,-3.75,103.64,74.03,90,100,1.21,overcast clouds
310,Vanavara,RU,60.34,102.28,22.24,98,86,4.16,overcast clouds
311,Seminole,US,28.71,-81.21,81.0,83,75,12.75,broken clouds
312,Caravelas,BR,-17.71,-39.25,79.43,71,99,8.99,moderate rain
313,Xichang,CN,27.9,102.26,46.83,78,100,6.33,light rain
314,Attock,PK,33.77,72.36,69.01,52,0,5.82,clear sky
315,La Ronge,CA,55.1,-105.28,26.6,63,90,3.36,overcast clouds
316,Kamenka,RU,51.32,42.77,40.51,69,56,9.73,light rain
317,Taviano,IT,39.98,18.09,60.8,77,5,12.59,clear sky
318,Labuhan,ID,-6.88,112.21,81.3,78,27,4.99,scattered clouds
319,Half Moon Bay,US,37.46,-122.43,73.0,82,5,2.28,clear sky
320,Flin Flon,CA,54.77,-101.86,28.4,54,90,2.24,overcast clouds
321,Bathsheba,BB,13.22,-59.52,87.8,66,75,12.75,broken clouds
322,Nyurba,RU,63.28,118.33,15.64,96,45,4.47,scattered clouds
323,Kavieng,PG,-2.57,150.8,79.99,84,81,11.48,moderate rain
324,Kahului,US,20.89,-156.47,75.99,73,1,5.82,clear sky
325,Aksu,CN,41.12,80.26,52.27,39,0,5.99,clear sky
326,Xuddur,SO,4.12,43.89,78.85,67,99,7.07,overcast clouds
327,Whitianga,NZ,-36.83,175.7,60.01,93,67,1.01,broken clouds
328,Emerald,AU,-23.53,148.17,71.6,78,75,6.93,broken clouds
329,Thai Binh,VN,20.45,106.33,73.4,60,75,6.93,broken clouds
330,Lompoc,US,34.64,-120.46,55.4,100,90,3.36,overcast clouds
331,Nikolskoye,RU,59.7,30.79,37.0,89,75,6.71,broken clouds
332,Shu,KZ,43.6,73.76,59.0,92,0,4.0,clear sky
333,Tautira,PF,-17.73,-149.15,82.0,65,20,8.05,few clouds
334,Verkhnevilyuysk,RU,63.45,120.32,16.09,96,36,3.76,scattered clouds
335,Madang,PG,-5.22,145.8,76.1,89,100,5.32,overcast clouds
336,Boguchany,RU,58.38,97.45,26.19,97,72,2.93,broken clouds
337,Whitehorse,CA,60.72,-135.05,18.0,72,75,3.36,broken clouds
338,Dudinka,RU,69.41,86.18,8.6,84,75,4.47,broken clouds
339,Sishui,CN,35.65,117.28,56.37,62,97,6.44,overcast clouds
340,Pathein,MM,16.78,94.73,74.61,96,96,8.21,overcast clouds
341,Padang,ID,-0.95,100.35,79.48,75,66,4.97,light rain
342,Requena,ES,39.49,-1.1,61.0,81,90,8.99,overcast clouds
343,Brae,GB,60.4,-1.35,48.2,93,75,28.86,light rain
344,Talaya,RU,61.38,152.75,14.07,92,28,1.05,scattered clouds
345,Luebo,CD,-5.35,21.42,72.45,87,56,1.36,light rain
346,Khed,IN,17.72,73.38,75.88,92,95,1.5,overcast clouds
347,Namatanai,PG,-3.67,152.43,79.29,77,84,2.13,light rain
348,Igrim,RU,63.19,64.42,29.84,98,100,3.85,overcast clouds
349,Heerlen,NL,50.88,5.98,57.99,87,75,11.41,light rain
350,Enshi,CN,30.3,109.48,53.4,79,99,0.34,overcast clouds
351,Nemuro,JP,43.32,145.57,49.48,66,50,5.03,scattered clouds
352,Swan Hill,AU,-35.34,143.55,50.88,79,57,4.23,broken clouds
353,Mahon,ES,39.89,4.27,68.0,88,20,11.41,few clouds
354,Sao Joao Da Barra,BR,-21.64,-41.05,78.8,65,75,16.11,broken clouds
355,Qesarya,IL,32.52,34.9,80.6,74,40,14.99,scattered clouds
356,Lerwick,GB,60.15,-1.15,48.2,93,75,28.86,light rain
357,Dno,RU,57.83,29.96,35.17,88,87,3.8,overcast clouds
358,Dickinson,US,29.46,-95.05,84.99,62,75,8.05,broken clouds
359,Tambura,SS,5.6,27.47,69.78,94,100,2.04,overcast clouds
360,Winnemucca,US,40.97,-117.74,60.8,21,1,6.93,clear sky
361,Korla,CN,41.76,86.15,52.0,68,0,5.01,clear sky
